Context,Exp,Index_ororiginal,Subject,Boundary,Condition,attention_stats,Speechness,Condition_lm,Context_lm
Tone 1,condition2,exp2,s1,8.257,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s1,4.433,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s1,9.065,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s2,7.949,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s2,4.594,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s2,10.627,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s3,5.651,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s3,4.96,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s3,5.42,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s4,8.377,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s4,6.83,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s4,8.935,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s5,8.164,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s5,7.157,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s5,8.555,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s6,7.087,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s6,6.287,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s6,6.1,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s7,8.653,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s7,8.363,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s7,8.504,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s8,7.836,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s8,8.203,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s8,8.886,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s9,7.287,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s9,6.72,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s9,8.399,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s10,7.974,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s10,7.59,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s10,8.501,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s11,7,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s11,7.291,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s11,7.388,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s12,7,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s12,7.252,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s12,8.899,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s13,7.627,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s13,8.207,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s13,7.654,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s14,8.691,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s14,8.206,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s14,9.231,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s15,10.113,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s15,9.495,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s15,9.778,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s16,10.143,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s16,10.534,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s16,10.954,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s17,6.096,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s17,5.081,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s17,8.969,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s18,8.796,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s18,8.242,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s18,8.206,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s19,9.913,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s19,9.378,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s19,9.774,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s20,9.378,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s20,9.213,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s20,10.389,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s21,10.47,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s21,10.342,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s21,11.054,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s22,6.905,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s22,7.388,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s22,7.53,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s23,7.727,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s23,7.576,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s23,8.765,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s24,8.016,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s24,7.803,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s24,8.421,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s25,7.406,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s25,8.111,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s25,8.247,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s26,9.905,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s26,10.487,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s26,10.487,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s27,9.101,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s27,9.057,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s27,9.479,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s28,6.988,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s28,6.331,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s28,8.859,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s29,8.605,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s29,8.055,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s29,9.314,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition2,exp2,s30,7.67,Nonspeech context & No_attention,No_attention,Nonspeech,1,2
Tone 2,condition2,exp2,s30,6.669,Nonspeech context & No_attention,No_attention,Nonspeech,1,1
Tone 4,condition2,exp2,s30,7.352,Nonspeech context & No_attention,No_attention,Nonspeech,1,3
Tone 1,condition5,exp5,s1,6.669,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s1,3.469,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s1,10.744,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s2,5.385,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s2,4.125,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s2,9.071,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s3,5.692,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s3,2.632,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s3,7.949,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s4,6.662,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s4,6.662,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s4,8.792,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s5,6.378,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s5,4.245,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s5,9.143,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s6,4.026,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s6,1.475,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s6,9.378,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s7,5.085,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s7,2.954,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s7,10.221,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s8,4.669,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s8,2.975,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s8,9.118,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s9,4.239,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s9,1,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s9,9.231,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s10,7.198,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s10,5.63,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s10,9.345,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s11,7.419,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s11,7.06,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s11,11.335,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s12,4.654,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s12,0.935,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s12,11.124,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s13,5.038,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s13,3.005,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s13,10.451,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s14,7.753,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s14,5.195,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s14,9.495,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s15,7.398,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s15,5.67,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s15,10.623,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s16,6.373,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s16,5.977,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s16,9.495,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s17,5.038,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s17,1.188,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s17,9.299,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s18,8.277,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s18,7.489,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s18,10.046,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s19,9.337,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s19,4.564,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s19,10.511,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s20,5.1,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s20,5.859,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s20,8.956,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s21,7.949,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s21,9.341,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s21,10.615,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s22,6.092,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s22,5.644,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s22,9.372,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s23,5.651,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s23,4.762,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s23,7.941,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s24,7.065,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s24,5.513,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s24,8.947,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s25,6.033,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s25,2.76,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s25,8.778,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s26,6.24,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s26,6.686,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s26,10.191,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s27,7.811,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s27,5.699,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s27,10.085,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s28,7.121,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s28,1.948,Speech context & No_attention,No_attention,Speech,2,1
