Context,Exp,Index_ororiginal,Subject,Boundary,Condition,attention_stats,Speechness,Condition_lm,Context_lm
Tone 4,condition5,exp5,s28,10.191,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s29,4.768,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s29,4.074,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s29,8.547,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition5,exp5,s30,6.64,Speech context & No_attention,No_attention,Speech,2,2
Tone 2,condition5,exp5,s30,5.067,Speech context & No_attention,No_attention,Speech,2,1
Tone 4,condition5,exp5,s30,9.8,Speech context & No_attention,No_attention,Speech,2,3
Tone 1,condition6,exp6,s1,7.78,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s1,4.59,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s1,10.882,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s2,5.511,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s2,4.239,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s2,8.511,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s3,7.187,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s3,4.109,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s3,8.519,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s4,7.949,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s4,6.971,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s4,9.604,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s5,6.131,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s5,6.096,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s5,9.092,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s6,4.495,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s6,1.662,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s6,9.101,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s7,5.232,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s7,4.315,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s7,10.615,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s8,5.774,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s8,3.767,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s8,8.8,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s9,4.221,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s9,2.024,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s9,9.362,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s10,7.546,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s10,6.297,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s10,9.774,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s11,7.836,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s11,7.545,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s11,10.157,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s12,5.194,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s12,1.713,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s12,10.425,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s13,5.67,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s13,5.207,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s13,9.778,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s14,7.78,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s14,6.235,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s14,9.075,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s15,7.388,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s15,6.033,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s15,10.222,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s16,6.69,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s16,5.311,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s16,9.913,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s17,6.373,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s17,2.738,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s17,8.381,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s18,7.628,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s18,7.795,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s18,9.871,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s19,9.315,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s19,7.673,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s19,11.342,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s20,5.765,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s20,6.308,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s20,8.757,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s21,9.343,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s21,9.774,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s21,10.47,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s22,6.594,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s22,7.257,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s22,9.207,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s23,7.276,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s23,6.813,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s23,8.031,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s24,6.1,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s24,4.32,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s24,8.661,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s25,6.061,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s25,3.969,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s25,9.8,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s26,7.466,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s26,7.858,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s26,10.451,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s27,7.398,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s27,7.541,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s27,10.986,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s28,6.524,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s28,4.063,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s28,9.507,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s29,4.898,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s29,4.287,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s29,8.649,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition6,exp6,s30,6.542,Speech context & Attention,Attention,Speech,4,1
Tone 2,condition6,exp6,s30,4.926,Speech context & Attention,Attention,Speech,4,2
Tone 4,condition6,exp6,s30,10.095,Speech context & Attention,Attention,Speech,4,3
Tone 1,condition3,exp3,s1,8.511,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s1,5.946,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s1,10.487,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s2,7.095,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s2,5.832,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s2,9.231,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s3,6.374,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s3,5.093,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s3,5.385,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s4,7.545,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s4,7.681,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s4,7.657,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s5,8.504,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s5,8.839,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s5,9.766,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s6,8.14,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s6,7.455,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s6,7.062,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s7,8.095,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s7,7.092,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s7,12.467,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s8,8.655,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s8,8.513,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s8,9.545,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s9,8.337,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s9,8.122,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s9,9.511,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s10,9.075,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s10,8.655,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s10,9.343,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s11,8.329,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s11,7.513,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s11,8.089,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s12,7.704,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s12,5.896,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s12,10.082,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s13,10.363,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s13,9.247,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s13,10.47,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s14,8.517,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s14,8.655,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s14,9.912,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s15,9.495,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s15,9.63,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s15,9.912,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s16,10.669,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s16,10.8,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s16,11.396,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s17,6.524,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s17,5.513,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s17,9.604,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s18,8.337,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s18,8.071,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s18,8.341,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s19,9.343,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s19,9.378,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s19,10.401,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s20,8.999,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s20,8.84,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s20,9.267,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s21,10.178,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s21,10.697,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s21,11.02,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s22,6.971,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s22,6.662,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s22,7.121,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s23,6.723,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s23,6.176,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s23,8.392,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s24,9.248,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s24,9.468,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s24,9.645,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s25,7.044,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s25,6.524,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s25,7.273,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s26,9.913,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s26,9.913,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s26,10.601,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s27,8.513,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s27,8.045,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s27,8.755,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s28,6.971,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s28,5.959,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s28,9.204,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s29,8.758,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s29,8.947,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s29,9.5,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s30,7.678,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s30,6.513,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s30,7.92,Nonspeech context & Attention,Attention,Nonspeech,3,3
